OBJECTID,GEOID,B00001e1,B00001m1,B00002e1,B00002m1
2002,05000US36041,1200,-1,2498,-1
2003,05000US36043,9305,-1,4309,-1
2004,05000US36045,14263,-1,6404,-1
2005,05000US36047,197565,-1,77651,-1
2006,05000US36049,5343,-1,2996,-1
2007,05000US36051,8296,-1,3202,-1
2008,05000US36053,8721,-1,3611,-1
2009,05000US36055,59010,-1,24691,-1
2010,05000US36057,6735,-1,3004,-1
2011,05000US36059,112731,-1,39649,-1
2012,05000US36061,81709,-1,41494,-1
2013,05000US36063,18183,-1,8277,-1
2014,05000US36065,24375,-1,10461,-1
2015,05000US36067,44649,-1,18785,-1
2016,05000US36069,11026,-1,4675,-1
2017,05000US36071,29088,-1,10475,-1
2018,05000US36073,4913,-1,1924,-1
2019,05000US36075,13158,-1,5682,-1
2020,05000US36077,9795,-1,4433,-1
2021,05000US36079,8083,-1,3012,-1
2022,05000US36081,169975,-1,63727,-1
2023,05000US36083,14091,-1,5986,-1
2024,05000US36085,33690,-1,12650,-1
2025,05000US36087,26482,-1,8532,-1
2026,05000US36089,15405,-1,6958,-1
2027,05000US36091,18705,-1,8153,-1
2028,05000US36093,12751,-1,5728,-1
2029,05000US36095,5547,-1,2803,-1
2030,05000US36097,3196,-1,1547,-1
2031,05000US36099,5900,-1,2465,-1
2032,05000US36101,15880,-1,7331,-1
2033,05000US36103,115968,-1,44925,-1
2034,05000US36105,7687,-1,4536,-1
2035,05000US36107,5353,-1,2254,-1
2036,05000US36109,9204,-1,3185,-1
2037,05000US36111,15287,-1,6665,-1
2038,05000US36113,6644,-1,3847,-1
2039,05000US36115,7742,-1,3404,-1
2040,05000US36117,9378,-1,4027,-1
2041,05000US36119,72715,-1,27560,-1
